model,pre-trained,fine-tuning,ia3,prompt-tuning,lora
metal-llama/CodeLlama-7b-hf,0.395051755347984,0.40754861102278545,0.3906316628336466,0.36827582353644456,0.3473228636022566
bigcode/starcoder2-3b,0.41088880994377597,0.40647224149485794,0.42235290092974814,0.37618764372208074,0.32070650301634646
bigcode/starcoder2-7b,0.35408880965010037,0.4320252714126456,0.42105335943205396,0.42155907764846534,0.4204257029916453
bigcode/starcoder2-15b,0.3365655115343157,0.39971121477070276,0.33646688609768116,0.43789302334019625,0.3774908760557268
bigcode/starcoderbase,0.3976040116634566,0.388590241011913,0.3976601889583433,0.2206048944451675,0.3693514766665702
Qwen/Qwen2.5-Coder-7B,0.3899022002014972,0.41443835040431215,0.3943620692233143,0.41463728749232254,0.35621428963890156
Qwen/Qwen2.5-Coder-3B,0.41892799650188095,0.3926574769057801,0.46329453559773176,0.3588078761899939,0.4527496187014727
Qwen/Qwen2.5-Coder-14B,0.3740785063378385,0.4349096047983867,0.3853666323479241,0.3898554181072387,0.4068981883143963
Salesforce/codegen2-16B_P,0.3850027360590291,0.2788899853223601,0.3850027360590291,0.3748796857290241,0.37344020087698204
Salesforce/codegen2-3_7B_P,0.0,0.2560767493528849,0.0,0.0,0.04136687810241361
Salesforce/codegen2-7B_P,0.378537373068961,0.3506865125176141,0.39079374730198346,0.3555112324227019,0.36710801294461576
Salesforce/codegen2-1B_P,0.0,0.01051226924744647,0.0,0.25473261404513037,0.007713218062964988
Salesforce/codegen-350M-multi,0.2772674144921887,0.24174984304644062,0.27614615509416923,0.24602419541553855,0.29046815394120223
