model,pre-trained,fine-tuning,ia3,prompt-tuning,lora
metal-llama/CodeLlama-7b-hf,0.3252,0.3354,0.3232,0.2761,0.3129
bigcode/starcoder2-3b,0.3415,0.311,0.3598,0.2744,0.2378
bigcode/starcoder2-7b,0.372,0.3598,0.3354,0.3659,0.3476
bigcode/starcoder2-15b,0.4085,0.3681,0.4146,0.4512,0.3902
bigcode/starcoderbase,0.2963,0.3293,0.2963,0.1562,0.3025
Salesforce/codegen2-16B_P,0.2012,0.118,0.2012,0.2134,0.2195
Salesforce/codegen2-3_7B_P,0.0,0.0,0.0,0.0,0.0
Salesforce/codegen2-7B_P,0.2256,0.128,0.2073,0.1829,0.2012
Salesforce/codegen2-1B_P,0.0,0.0,0.0,0.0,0.0
Salesforce/codegen-350M-multi,0.0671,0.0366,0.0671,0.0549,0.0427
