model,pre-trained,fine-tuning,ia3,prompt-tuning,lora
metal-llama/CodeLlama-7b-hf,0.12328027194391036,0.12226213017594745,0.12715749534527124,0.15612480215926908,0.133383959321257
bigcode/starcoder2-3b,0.13542514992684088,0.18415959295066228,0.1771432280865018,0.11331396086861588,0.06577434457486486
bigcode/starcoder2-7b,0.0970462805413799,0.18398175014525575,0.18516794882620327,0.20432880645636,0.17955797830492282
bigcode/starcoder2-15b,0.1013399741680166,0.19711489442735186,0.10036906791393205,0.21345748434797704,0.17597010362474716
bigcode/starcoderbase,0.12724220416260876,0.15695861459762483,0.12847367191216866,0.09050832530350725,0.14227884739206215
Qwen/Qwen2.5-Coder-7B,0.20260912330899514,0.1926887051528882,0.19695307929525788,0.2045186172903378,0.1839208232935559
Qwen/Qwen2.5-Coder-3B,0.12959090095421125,0.18881400048357638,0.21753767874743463,0.18687106553451494,0.22905073824712258
Qwen/Qwen2.5-Coder-14B,0.19119564067941253,0.21359732440851395,0.19442636101650987,0.1976874842683747,0.2145344186743471
Salesforce/codegen2-16B_P,0.11503027755706757,0.08807013770134543,0.11512421916713367,0.1343709616012206,0.11562287477340819
Salesforce/codegen2-3_7B_P,0.0,0.0,0.0,0.0,0.0
Salesforce/codegen2-7B_P,0.11400982411249572,0.13778874559601006,0.15078961003615848,0.10584396858616861,0.12717272154496506
Salesforce/codegen2-1B_P,0.0,0.0,0.0,0.0,0.0
Salesforce/codegen-350M-multi,0.030786979872071147,0.05324462084911955,0.030642800280810425,0.022051779323426144,0.046450709265303695
