model,pre-trained,fine-tuning,ia3,prompt-tuning,lora
metal-llama/CodeLlama-7b-hf,0.0,0.0,0.0,0.0,0.0
bigcode/starcoder2-3b,0.0,0.0,0.0,0.0,0.0
bigcode/starcoder2-7b,0.0,0.0,0.0,0.0,0.0
bigcode/starcoder2-15b,0.0,0.0,0.0,0.0,0.0
bigcode/starcoderbase,0.0,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-Coder-7B,0.0,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-Coder-3B,0.0,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-Coder-14B,0.0,0.0,0.0,0.0,0.0
Salesforce/codegen2-16B_P,0.0,0.0,0.0,0.0,0.0
Salesforce/codegen2-7B_P,0.0,0.0,0.0,0.0,0.0
Salesforce/codegen-350M-multi,0.0,0.0,0.0,0.0,0.0
Salesforce/codegen2-3_7B_P,0.0,0.0,0.0,0.0,0.0
Salesforce/codegen2-1B_P,0.0,0.0,0.0,0.0,0.0
