model,pre-trained,fine-tuning,ia3,prompt-tuning,lora
metal-llama/CodeLlama-7b-hf,0.2085889570552147,0.21951219512195122,0.21341463414634146,0.20245398773006135,0.20245398773006135
bigcode/starcoder2-3b,0.21951219512195122,0.18902439024390244,0.23780487804878048,0.18292682926829268,0.16463414634146342
bigcode/starcoder2-7b,0.23170731707317074,0.21951219512195122,0.21341463414634146,0.24390243902439024,0.21951219512195122
bigcode/starcoder2-15b,0.25,0.2331288343558282,0.25,0.2804878048780488,0.25609756097560976
bigcode/starcoderbase,0.2037037037037037,0.21951219512195122,0.2037037037037037,0.1015625,0.19753086419753085
Qwen/Qwen2.5-Coder-7B,0.36585365853658536,0.17682926829268292,0.38414634146341464,0.40853658536585363,0.3231707317073171
Qwen/Qwen2.5-Coder-3B,0.34146341463414637,0.2073170731707317,0.3780487804878049,0.3128834355828221,0.39634146341463417
Qwen/Qwen2.5-Coder-14B,0.3048780487804878,0.3475609756097561,0.3353658536585366,0.3780487804878049,0.38414634146341464
Salesforce/codegen2-16B_P,0.13414634146341464,0.07453416149068323,0.13414634146341464,0.13414634146341464,0.1402439024390244
Salesforce/codegen2-7B_P,0.13414634146341464,0.07926829268292683,0.12804878048780488,0.12195121951219512,0.12195121951219512
Salesforce/codegen-350M-multi,0.03048780487804878,0.018292682926829267,0.03048780487804878,0.018292682926829267,0.018292682926829267
Salesforce/codegen2-3_7B_P,0.0,0.0,0.0,0.0,0.0
Salesforce/codegen2-1B_P,0.0,0.0,0.0,0.0,0.0
