model,pre-trained,full_fine-tuning,lora,ia3,prompt-tuning
OK          Salesforce/codegen-350M-multi,      0.3608,                         0.3293,                  0.3907,                   0.3583,                    0.3290
OK          Salesforce/codegen2-1B_P,           0.0,                            0.0359,                 0.0117,                    0.0,                       0.2547
OK          bigcode/starcoder2-3b,              0.4264,                         0.4969,                  0.4169,                   0.4250,                    0.4309
OK          Salesforce/codegen2-3_7B_P,         0.0,                            0.2621,                 0.1384,                    0.0,                       0.0
OK          metal-llama/CodeLlama-7b-hf,        0.4861,                         0.4994,                  0.4291,                   0.4802,                    0.4617
OK          Salesforce/codegen2-7B_P,           0.4736,                         0.4398,                  0.4636,                   0.4898,                    0.4407
OK          bigcode/starcoder2-7b,              0.4027,                         0.4389,                  0.5179,                   0.4213,                    0.5057
OK          bigcode/starcoderbase,              0.4338,                         0.4830,                  0.3905,                   0.4344,                    0.2315
bigcode/starcoder2-15b,             0.3724,                         0.4886,                  0.4633,                   0.3725,                    0.5352
Salesforce/codegen2-16B_P,          0.4779,                         0.3774,                  0.4714,                   0.4780,                    0.4679
