model,pre-trained,fine-tuning,ia3,prompt-tuning,lora
metal-llama/CodeLlama-7b-hf,0.4862704953632081,0.49988254687251055,0.4798675066163683,0.4617440544697332,0.4287880064365058
bigcode/starcoder2-3b,0.4250832816003566,0.4963655923360174,0.4245922462290615,0.4299702905456701,0.4170262383730588
bigcode/starcoder2-7b,0.4020815832326216,0.43782394732335406,0.4218721347280379,0.5055550079529071,0.5171433706633333
bigcode/starcoder2-15b,0.3728275600804002,0.488781019499033,0.3730140338883729,0.5350780972573452,0.4633084708859778
bigcode/starcoderbase,0.43328345885763475,0.4839975640962497,0.434343359387142,0.23043684001180958,0.3907429414184302
Salesforce/codegen2-16B_P,0.4790747430522319,0.3769633753380907,0.4792431836021434,0.4681472933510876,0.4711387856816932
Salesforce/codegen2-3_7B_P,0.0,0.2620699623747761,0.0,0.0,0.1384195287884979
Salesforce/codegen2-7B_P,0.47469048125957297,0.4412587083687388,0.4905109741874154,0.4409220989859171,0.46525440243947896
Salesforce/codegen2-1B_P,0.0,0.03589281125560187,0.0,0.2546791549761936,0.011664283627927062
Salesforce/codegen-350M-multi,0.3609839529437575,0.3294022752360163,0.35961829928060735,0.32856606853346626,0.39177436108179625
