model,pre-trained,fine-tuning,ia3,prompt-tuning,lora
bigcode/starcoder2-3b,0.16719944007070414,0.29769056250287695,0.2851562613709054,0.1732523414988857,0.315129718643549
bigcode/starcoder2-7b,0.17486934757279599,0.31055909520144054,0.3172533151340466,0.3325000133248737,0.3136486489293111
bigcode/starcoder2-15b,0.1970344516078812,0.3401802930073246,0.1970344516078812,0.33281483181969007,0.3398206711442025
bigcode/starcoderbase,0.17427850377782728,0.34153683027341697,0.17427850377782728,0.1848847734792985,0.17427850377782728
Qwen/Qwen2.5-Coder-7B,0.3025321514401544,0.2530048532618327,0.3072804037285252,0.2968513975571737,0.3182211122297136
Qwen/Qwen2.5-Coder-3B,0.2826486816571795,0.33394048119781183,0.2850599582639176,0.2852266783185362,0.29484567093865255
Qwen/Qwen2.5-Coder-14B,0.3191993450441811,0.30631615768026144,0.32536180513467994,0.32674267199582074,0.33109919548220174
Salesforce/codegen2-16B_P,0.30255021275034333,0.3317993257307602,0.299723465332787,0.29707087121347664,0.33192553514661727
Salesforce/codegen2-3_7B_P,0.0,0.10530829527660622,0.0,0.25677300913944257,0.10543991009704187
Salesforce/codegen2-7B_P,0.2819958165226998,0.30630454412522023,0.28612769126171417,0.27939741925541195,0.31450887222045937
Salesforce/codegen2-1B_P,0.0,0.14793623700730296,0.2582523716600266,0.25731792154834826,0.036614992555401106
Salesforce/codegen-350M-multi,0.23954460376626446,0.30084880333492753,0.23670667825880728,0.23108699816160794,0.256537796806742
meta-llama/CodeLlama-7b-hf,0.3139969691807494,0.31586917818394644,0.30838034939088177,0.29847421175142846,0.34034465047595697
