model,pre-trained,fine-tuning,ia3,prompt-tuning,lora
bigcode/starcoder2-3b,0.0499,0.1715,0.1253,0.0437,0.1755
bigcode/starcoder2-7b,0.0553,0.1973,0.2047,0.1715,0.1809
bigcode/starcoder2-15b,0.0604,0.1754,0.0593,0.1998,0.2063
bigcode/starcoderbase,0.054,0.2034,0.0519,0.0642,0.0493
Salesforce/codegen2-16B_P,0.187,0.1286,0.1849,0.2117,0.1955
Salesforce/codegen2-7B_P,0.2142,0.2369,0.2144,0.2014,0.2198
Salesforce/codegen-350M-multi,0.1119,0.1416,0.1379,0.1354,0.1469
meta-llama/CodeLlama-7b-hf,0.2087,0.2197,0.2157,0.2039,0.2135
Salesforce/codegen2-3_7B_P,0.0,0.0316,0.0,0.0106,0.0159
Salesforce/codegen2-1B_P,0.0,0.0,0.0,0.0146,0.0054
