model,pre-trained,fine-tuning,ia3,prompt-tuning,lora
bigcode/starcoder2-3b,0.6425,0.2306,0.3848,0.6108,0.204
bigcode/starcoder2-7b,0.6285,0.2535,0.2624,0.2453,0.2428
bigcode/starcoder2-15b,0.609,0.1573,0.6519,0.245,0.1982
bigcode/starcoderbase,0.6662,0.1813,0.624,0.5024,0.4938
Salesforce/codegen2-16B_P,0.2474,0.137,0.2609,0.23,0.187
Salesforce/codegen2-3_7B_P,0.0,0.0502,0.0,0.5832,0.213
Salesforce/codegen2-7B_P,0.2268,0.1068,0.2225,0.2274,0.1879
Salesforce/codegen2-1B_P,0.0,0.0377,0.7143,0.6696,0.1289
Salesforce/codegen-350M-multi,0.1611,0.1272,0.1863,0.1812,0.1683
meta-llama/CodeLlama-7b-hf,0.2419,0.25,0.246,0.2399,0.2512
