model,pre-trained,fine-tuning,ia3,prompt-tuning,lora
bigcode/starcoder2-3b,0.012765588270174906,0.031163685430687656,0.032301171113306874,0.013118720950808226,0.03579412746744719
bigcode/starcoder2-7b,0.015435077384085808,0.030911181975390816,0.03604931569014716,0.0394417717736752,0.03366245185320736
bigcode/starcoder2-15b,0.016805268443648998,0.039334678788102484,0.016805268443648998,0.03624870848534384,0.046240709353955786
bigcode/starcoderbase,0.01312926413149945,0.04065433769416503,0.01312926413149945,0.011461102046480235,0.01312926413149945
Qwen/Qwen2.5-Coder-7B,0.021102591995743637,0.01820406082680481,0.03253667463336755,0.031031847254583377,0.03476039598046274
Qwen/Qwen2.5-Coder-3B,0.02005764383809571,0.031956006806685776,0.025002694606788858,0.02228711969037734,0.029272785789534666
Qwen/Qwen2.5-Coder-14B,0.02436224788870606,0.022295456221480825,0.028497340597614496,0.027180866907625983,0.03166315212493091
Salesforce/codegen2-16B_P,0.02157673845082647,0.031222469569065867,0.020101790876939696,0.025999042459064852,0.039535785456903706
Salesforce/codegen2-3_7B_P,0.0,0.000960287233447861,0.0,0.0,0.0003543553910167906
Salesforce/codegen2-7B_P,0.018036231864540283,0.027416622837157605,0.02596660230624678,0.02456183475813292,0.03524991461892839
Salesforce/codegen2-1B_P,0.0,0.0012162128147218372,0.0,0.0,1.5077613413055136e-80
Salesforce/codegen-350M-multi,0.008695460763715935,0.025547603430887116,0.014876416321807674,0.010485778292869946,0.021693984389671916
meta-llama/CodeLlama-7b-hf,0.030962767511751588,0.0416683209500007,0.03712962994129092,0.027820541293240235,0.045899680065980566
