model,pre-trained,fine-tuning,ia3,prompt-tuning,lora
bigcode/starcoder2-3b,0.5170518207282913,0.38461538461538464,0.3922828282828283,0.28382978966809835,0.528126088470916
bigcode/starcoder2-7b,0.36556561591772857,0.14285714285714285,0.4060195450439352,0.4303961542333635,0.5258650888585098
bigcode/starcoder2-15b,0.3741150361322035,0.034482758620689655,0.4338472229828772,0.5168607645078233,0.15757575757575756
bigcode/starcoderbase,0.2776926132938791,0.407800224466891,0.45818686585745405,0.24542368459565908,0.46706900197612267
Qwen/Qwen2.5-Coder-7B,0.48535499293075046,0.0,0.38778877887788776,0.360893326402726,0.5128176171654433
Qwen/Qwen2.5-Coder-3B,0.0,0.0,0.6403337414914386,0.551688943501809,0.5114089892475666
Qwen/Qwen2.5-Coder-14B,0.404656862745098,0.119047619047619,0.2657071018062397,0.5379789816833611,0.5268478851833315
Salesforce/codegen2-16B_P,0.7040719696969696,0.05,0.5253690996049074,0.5385802469135802,0.2938183201881832
Salesforce/codegen2-7B_P,0.3522357723577235,0.26704545454545453,0.5179809956125745,0.5099798650961441,0.40835164835164833
Salesforce/codegen-350M-multi,0.22745098039215686,0.8333333333333333,0.4493832693128467,0.44228956228956223,0.41423001949317734
meta-llama/CodeLlama-7b-hf,0.1388888888888889,0.0,0.3604523495827843,0.1875,0.5053276669130328
Salesforce/codegen2-3_7B_P,0.0,0.0,0.0,0.0,0.5769230769230769
Salesforce/codegen2-1B_P,0.0,0.1111111111111111,0.0,0.0,0.7424242424242423
