model,pre-trained,fine-tuning,ia3,prompt-tuning,lora
bigcode/starcoder2-3b,0.5346108721157606,0.16672925272249342,0.2657153875819514,0.543138131426017,0.1877309682187731
bigcode/starcoder2-7b,0.5266693006716713,0.19664804469273742,0.2020470053070508,0.20125539427226363,0.2088078967350038
bigcode/starcoder2-15b,0.525390625,0.1877309682187731,0.527734375,0.1798590965602984,0.21212121212121213
bigcode/starcoderbase,0.478017585931255,0.21684053651266766,0.4784172661870504,0.33798604187437686,0.478017585931255
Qwen/Qwen2.5-Coder-7B,0.19955489614243324,0.1350729086722947,0.23640399556048836,0.20709382151029748,0.23091178650852484
Qwen/Qwen2.5-Coder-3B,0.17721518987341772,0.15092250922509226,0.18577810871183917,0.19752159218926024,0.1994080651128376
Qwen/Qwen2.5-Coder-14B,0.23890532544378698,0.20263653483992466,0.24183006535947713,0.20116959064327486,0.24021084337349397
Salesforce/codegen2-16B_P,0.1787709497206704,0.13321033210332103,0.1905120481927711,0.1885245901639344,0.1714495952906549
Salesforce/codegen2-7B_P,0.17588495575221239,0.14779056813962124,0.18269947800149142,0.19477074649488443,0.17343173431734318
Salesforce/codegen-350M-multi,0.09362023405058513,0.1351652432231712,0.1337894336754086,0.12273800157356413,0.14533786334465837
meta-llama/CodeLlama-7b-hf,0.17957351290684623,0.2229275578790142,0.20357275772236696,0.11061946902654868,0.2212750185322461
Salesforce/codegen2-3_7B_P,0.0,0.049194991055456175,0.0,0.0,0.1184573002754821
Salesforce/codegen2-1B_P,0.0,0.038923594425756845,0.0,0.0,0.120837297811608
