model,pre-trained,fine-tuning,ia3,prompt-tuning,lora
bigcode/starcoder2-3b,0.16760618007494757,0.29232499454693606,0.2811362805837648,0.17120223507887794,0.30119416123548637
bigcode/starcoder2-7b,0.1723083868709243,0.3050959704570916,0.3081870570896326,0.3222983335258588,0.30574312075915006
bigcode/starcoder2-15b,0.1947636350560393,0.3322558024730482,0.1947636350560393,0.3264012858576202,0.3301949377231302
bigcode/starcoderbase,0.17083749799271125,0.33305759287861014,0.17083749799271125,0.18159877891824458,0.17083749799271125
Salesforce/codegen2-16B_P,0.28953421637511845,0.3236953532225881,0.2866341357684457,0.28743763495459906,0.3230775085674759
Salesforce/codegen2-3_7B_P,0.0,0.10613334926305229,0.0,0.25659814527162345,0.09823086013064386
Salesforce/codegen2-7B_P,0.2738713838090864,0.30311619853917937,0.279636921264039,0.2766733986088539,0.30458154948001603
Salesforce/codegen2-1B_P,0.0,0.13912479274414885,0.2563878752612833,0.25705339800395133,0.03572270078723618
Salesforce/codegen-350M-multi,0.22710325457084762,0.28794195064697686,0.2317603399780293,0.22548865895439094,0.25184330494230867
meta-llama/CodeLLama-7b-hf,0.30930202683827784,0.3116278186750574,0.3036306314359073,0.2918255202426623,0.33515259011930126
