model,pre-training,full_fine-tuning,lora,ia3,prompt-tuning
OK      Salesforce/codegen-350M-multi,             0.2170,      0.2988,      0.2553 ,    0.2266,     0.2208,        
OK      Salesforce/codegen2-1B_P,                  0.0,         0.1474,      0.0484 ,    0.2553,     0.2568,        
OK      bigcode/starcoder2-3b,                     0.1543,      0.2786,      0.2901 ,    0.2513,     0.1742,        
OK      Salesforce/codegen2-3_7B_P,                0.0,         0.1006,      0.0997 ,    0.0,        0.2562,        
OK      metal-llama/CodeLlama-7b-hf,               0.3107,      0.3012,      0.3277 ,    0.3011,     0.2885,        
OK      Salesforce/codegen2-7B_P,                  0.2848,      0.3107,      0.3164 ,    0.2904,     0.2775,         
OK      bigcode/starcoder2-7b,                     0.1610,      0.3009,      0.3068 ,    0.2903,     0.3030,        
OK      bigcode/starcoderbase,                     0.1563,      0.3123,      0.3152 ,    0.1553,     0.1518,        
bigcode/starcoder2-15b,                    0.1898,      0.3323,      0.3272 ,    0.1901,     0.3133,        
Salesforce/codegen2-16B_P,                 0.2784,      0.3383,      0.3186 ,    0.2790,     0.2954,        
