model,pre-training,fine-tuning,ia3,prompt-tuning,lora
metal-llama/CodeLlama-7b-hf,0.31103220161233525,0.30133019839902453,0.301085558723889,0.2888164427069065,0.3275838371847899
bigcode/starcoder2-3b,0.15433420485770288,0.2782357458239357,0.25123653109924454,0.17427915321960594,0.2899868941697372
bigcode/starcoder2-7b,0.16100887708943093,0.3006148399291792,0.2901268040669856,0.3032470802025534,0.3067158771670482
bigcode/starcoder2-15b,0.18995070086468846,0.33231849934846325,0.1902327162044433,0.3132709147457322,0.32740930095684107
bigcode/starcoderbase,0.15663106607104957,0.31211794365987816,0.1556439640471189,0.15181939802946876,0.31515669415556213
Salesforce/codegen2-16B_P,0.2781997450351173,0.3384465461323598,0.2787535008235245,0.2954691538410082,0.31855728384371657
Salesforce/codegen2-3_7B_P,0.0,0.10070817637033284,0.0,0.2562064258882257,0.0996778963712642
Salesforce/codegen2-7B_P,0.2851301442217857,0.31047304413464594,0.2904003250229778,0.27785123098636955,0.3162950628525168
Salesforce/codegen2-1B_P,0.0,0.14720115463703853,0.25526957154118446,0.25678474466802054,0.04834469401264273
Salesforce/codegen-350M-multi,0.2173751381695563,0.29846437172168294,0.2268773145851099,0.22087378215518536,0.2557293901021165
